UN201707310035,"2017-07-31 02:43:00",安南區,動物救援,犬貓急難救援,"安南區安中路 動物救援",安南區安中路,23.03952,120.2016
UN201707310117,"2017-07-31 07:35:00",東區,民生管線,停電、漏電、電線掉落、孔蓋鬆動,"東區榮譽街84巷123號 停電",臺南市東區榮譽街84巷123號,22.97377,120.218072
UN201707310148,"2017-07-31 08:15:00",安南區,交通運輸,交通疏導,"安南區安中路一段856號 交通疏導",臺南市安南區安中路一段856號,23.044044,120.194119
UN201707310195,"2017-07-31 08:56:00",下營區,民生管線,漏水、停水、消防栓漏水或損壞,"下營區中山路二段363巷18號附近 停水",臺南市下營區中山路二段363巷18號,23.223025,120.267309
UN201707310200,"2017-07-31 09:00:00",新市區,路燈故障,9盞以下路燈故障,"新市區永就里84之2號 路燈不亮",臺南市新市區永就里84之2號,23.064423,120.293019
UN201707310218,"2017-07-31 09:16:00",官田區,民生管線,停電、漏電、電線掉落、孔蓋鬆動,"官田區勝利路48巷18號 停電",臺南市官田區勝利路48巷18號,23.194337,120.315324
UN201707310235,"2017-07-31 09:25:00",歸仁區,髒亂及汙染,空氣汙染,"歸仁區仁愛十街59號 空污",臺南市歸仁區仁愛十街59號,22.962658,120.299448
UN201707310252,"2017-07-31 09:36:00",左鎮區,道路維修,路樹傾倒,"左鎮區光和里85號附近 樹壓到電線",臺南市左鎮區光和里85號,23.05079,120.381403
UN201707310275,"2017-07-31 09:55:00",南區,道路維修,路面坑洞,"南區金華路一段92號 路面坑洞",臺南市南區金華路一段92號,22.963378,120.189691
UN201707310301,"2017-07-31 10:27:00",下營區,民生管線,漏水、停水、消防栓漏水或損壞,"下營區中山路二段322巷15號 停水",臺南市下營區中山路二段322巷15號,23.221767,120.265356
UN201707310330,"2017-07-31 10:50:00",安定區,交通運輸,號誌秒差調整,"安定區港口里244號附近路口 號誌故障",臺南市安定區港口里244號,23.09054,120.23469
UN201707310332,"2017-07-31 10:51:00",官田區,民生管線,停電、漏電、電線掉落、孔蓋鬆動,"官田區社子里六雙16之17號 停電",臺南市官田區社子里六雙16之17號,23.166371,120.363395
UN201707310355,"2017-07-31 11:21:00",新化區,違規停車,違規停車,"新化區中正路與中興路口 違規停車",臺南市新化區中正路與中興路口,23.0336515,120.308481
UN201707310376,"2017-07-31 11:42:00",中西區,違規停車,違規停車,"中西區西華南街42號 違規停車",中西區西華南街42號,22.9946816,120.2096086
UN201707310406,"2017-07-31 12:31:00",中西區,違規停車,違規停車,"中西區中正路24號  違規停車",臺南市中正路24號,22.992254,120.203529
UN201707310418,"2017-07-31 12:51:00",中西區,違規停車,違規停車,"中西區民族路二段73/75號 違規停車",臺南市民族路二段73/75號,22.997331,120.200606
UN201707310447,"2017-07-31 13:05:00",下營區,民生管線,停電、漏電、電線掉落、孔蓋鬆動,"下營區紅厝里紅毛厝40號 民生管線",臺南市下營區紅厝里紅毛厝40號,23.246605,120.265807
UN201707310457,"2017-07-31 13:37:00",永康區,髒亂及汙染,其他汙染舉發,"永康區洲工街117號 其他汙染舉發",臺南市永康區洲工街117號,23.035858,120.225236
UN201707310458,"2017-07-31 13:39:00",仁德區,髒亂及汙染,空氣汙染,"仁德區太乙五街3號附近 空氣汙染",臺南市仁德區太乙五街3號,22.980016,120.251478
UN201707310471,"2017-07-31 13:49:00",下營區,民生管線,停電、漏電、電線掉落、孔蓋鬆動,"下營區紅厝里89之1號 停電",臺南市下營區紅厝里89之1號,23.245022,120.268312
UN201707310543,"2017-07-31 15:21:00",南區,路燈故障,9盞以下路燈故障,"南區國民路165巷7弄33號 路燈不亮",臺南市南區國民路165巷7弄33號,22.966768,120.213127
UN201707310552,"2017-07-31 15:31:00",北區,道路維修,路樹傾倒,"北區公園路758巷43號  路樹傾倒",臺南市北區公園路758巷43號,23.010681,120.212196
UN201707310567,"2017-07-31 15:57:00",北區,違規停車,違規停車,"北區成功路380號 違停",臺南市北區成功路380號,23.000208,120.20024
