UN201907010007,"2019-07-01 02:13:19",永康區,噪音舉發,場所連續噪音,"永康區大橋一街47之1號 場所連續噪音",臺南市永康區大橋一街47之1號,23.016321,120.226273
UN201907010040,"2019-07-01 08:31:43",東區,違規停車,違規停車,"東區崇善路195號到崇學路  違規停車",臺南市東區崇善路195號,22.980177,120.223991
UN201907010054,"2019-07-01 09:02:54",北區,民生管線,漏水、停水、消防栓漏水或損壞,"北區北門路二段73號 停水",臺南市北區北門路二段73號,22.998914,120.212409
UN201907010099,"2019-07-01 10:22:23",東區,違規停車,違規停車,"東區崇善路195號至崇學路口 違停",臺南市東區崇善路195號,22.980177,120.223991
UN201907010106,"2019-07-01 10:30:07",安平區,路燈故障,9盞以下路燈故障,"安平區永華路二段930號   路燈故障",臺南市安平區永華路二段930號,22.992045,120.16563
UN201907010109,"2019-07-01 10:32:16",北區,違規停車,違規停車,"北區開元路291號 違規停車",臺南市北區開元路291號,23.008027,120.221153
UN201907010110,"2019-07-01 10:33:44",東區,違規停車,違規停車,"東區崇善十五街33巷89號 紅線違停",臺南市東區崇善十五街33巷89號,22.963424,120.232888
UN201907010124,"2019-07-01 10:49:37",仁德區,髒亂及汙染,空氣汙染,"仁德區機場路1050號 空氣汙染",臺南市仁德區機場路1050號,22.949261,120.216953
UN201907010144,"2019-07-01 11:27:23",安南區,違規停車,違規停車,"安南區安中路四段87號   違規停車",臺南市安南區安中路四段87號,23.049491,120.17214
UN201907010168,"2019-07-01 12:20:18",新市區,髒亂及汙染,空氣汙染,"新市區大營里7號附近 空氣汙染",臺南市新市區大營里7號,23.090288,120.306862
UN201907010180,"2019-07-01 12:40:36",北區,違規停車,違規停車,"北區開元路73巷56-3號   違規停車",臺南市北區開元路73巷56之3號,23.007266,120.217827
UN201907010183,"2019-07-01 12:59:07",安平區,違規停車,違規停車,"安平區古堡街1號 違規停車",臺南市安平區古堡街1號,22.999392,120.161461
UN201907010186,"2019-07-01 13:12:09",中西區,違規停車,違規停車,"中西區民族路二段66號、55/-63號、42號、49號、8號、1-15號 違規停車",臺南市中西區民族路二段66號,22.994656,120.210177
UN201907010327,"2019-07-01 17:27:29",白河區,髒亂及汙染,空氣汙染,"白河區崁頭里14號 空氣汙染",臺南市白河區崁頭里14號,23.32828,120.417951
UN201907010370,"2019-07-01 19:17:22",永康區,髒亂及汙染,空氣汙染,"永康區大灣路1014號 空氣汙染",臺南市永康區大灣路1014號,22.999921,120.253194
UN201907010375,"2019-07-01 19:34:19",永康區,交通運輸,號誌故障,"永康區中山東路155號 號誌故障",臺南市永康區中山東路155號,23.011541,120.237058
